LocationID,OBJECTID,X,Y,Shape_Leng,Shape_Area,zone,borough
124,124,1025865.93,179609.9773,0.12772441,0.000754838,Howard Beach,Queens
125,125,982261.0755,203550.7913,0.049732212,7.64E-05,Hudson Sq,Manhattan
126,126,1016089.089,235830.3585,0.129948726,0.000703274,Hunts Point,Bronx
127,127,1006287.517,254453.3252,0.060018886,0.000163196,Inwood,Manhattan
128,128,1004872.848,257047.9705,0.070209029,0.000207406,Inwood Hill Park,Manhattan
129,129,1015442.387,215841.865,0.093272727,0.000473988,Jackson Heights,Queens
130,130,1039607.037,195561.1974,0.142028321,0.000468323,Jamaica,Queens
131,131,1047623.987,201824.8689,0.116547121,0.000423696,Jamaica Estates,Queens
132,132,1045786.102,173472.4165,0.245478517,0.002038301,JFK Airport,Queens
133,133,991372.55,172223.4199,0.065134863,0.000157189,Kensington,Brooklyn
134,134,1031383.547,197539.0295,0.069587822,0.000202375,Kew Gardens,Queens
135,135,1033033.879,205069.2965,0.121793046,0.000467912,Kew Gardens Hills,Queens
136,136,1010327.417,254362.6257,0.090628715,0.000148525,Kingsbridge Heights,Bronx
137,137,990590.519,209010.2761,0.046107624,0.000116455,Kips Bay,Manhattan
138,138,1019479.472,221607.4718,0.107466934,0.000536797,LaGuardia Airport,Queens
139,139,1055445.24,186303.0912,0.093299788,0.00044667,Laurelton,Queens
140,140,996835.0322,218174.79,0.047584291,0.000114204,Lenox Hill East,Manhattan
141,141,995409.7018,218659.3837,0.041514464,7.67E-05,Lenox Hill West,Manhattan
142,142,989414.8861,221232.1722,0.038175894,7.57E-05,Lincoln Square East,Manhattan
143,143,987581.0756,221911.0505,0.054179854,0.000151094,Lincoln Square West,Manhattan
144,144,984968.8548,201803.7945,0.027620167,4.75E-05,Little Italy/NoLiTa,Manhattan
145,145,998464.7889,211283.6648,0.114313845,0.000346642,Long Island City/Hunters Point,Queens
146,146,1002636.94,214178.8744,0.047140522,0.000104639,Long Island City/Queens Plaza,Queens
147,147,1012428.668,237749.6466,0.058765495,0.000106418,Longwood,Bronx
148,148,986822.8784,201304.8683,0.039130502,6.97E-05,Lower East Side,Manhattan
149,149,998557.138,160266.0312,0.083680582,0.00027064,Madison,Brooklyn
150,150,1000115.542,150686.8185,0.089331491,0.000332568,Manhattan Beach,Brooklyn
151,151,993163.0124,229962.8097,0.054889941,0.000128849,Manhattan Valley,Manhattan
152,152,996892.4997,237145.8587,0.057909477,0.000146638,Manhattanville,Manhattan
153,153,1008845.682,258295.0956,0.024737239,3.25E-05,Marble Hill,Manhattan
154,154,1013099.185,155382.6404,0.227331571,0.001789687,Marine Park/Floyd Bennett Field,Brooklyn
155,155,1010132.947,164367.1802,0.169808473,0.000868261,Marine Park/Mill Basin,Brooklyn
156,156,938488.8473,168389.4267,0.14447689,0.001052122,Mariners Harbor,Staten Island
157,157,1011434.314,203078.8231,0.131300218,0.00035437,Maspeth,Queens
158,158,981926.0197,207147.399,0.054809991,0.000185568,Meatpacking/West Village West,Manhattan
159,159,1008169.271,237402.9332,0.064363233,0.000171249,Melrose South,Bronx
160,160,1017317.016,201069.3538,0.141519143,0.000571235,Middle Village,Queens
161,161,990502.2531,215519.8659,0.03580391,7.19E-05,Midtown Center,Manhattan
162,162,991966.9406,215006.4597,0.035269815,4.79E-05,Midtown East,Manhattan
163,163,990242.6227,217778.2895,0.034176867,4.09E-05,Midtown North,Manhattan
164,164,988148.8157,212087.7944,0.035771612,5.56E-05,Midtown South,Manhattan
165,165,996852.6555,165511.6453,0.088608036,0.000353959,Midwood,Brooklyn
166,166,994820.4931,234227.6404,0.068823754,0.000255276,Morningside Heights,Manhattan
167,167,1010695.364,240950.0324,0.090815974,0.000167529,Morrisania/Melrose,Bronx
168,168,1007211.151,233459.9183,0.114517434,0.000547058,Mott Haven/Port Morris,Bronx
169,169,1010526.818,248647.1295,0.060104658,0.000146028,Mount Hope,Bronx
170,170,990638.9732,211668.1067,0.045769009,7.43E-05,Murray Hill,Manhattan
171,171,1037188.868,219481.4359,0.107353876,0.0005201,Murray Hill-Queens,Queens
172,172,955378.0543,147858.1676,0.118476116,0.000658403,New Dorp/Midland Beach,Staten Island
173,173,1022184.763,213199.769,0.060063966,0.00017833,North Corona,Queens
174,174,1018054.727,258762.4175,0.067817756,0.000155929,Norwood,Bronx
175,175,1051486.558,210164.4567,0.134897665,0.000504921,Oakland Gardens,Queens
176,176,951015.1537,144073.003,0.151995191,0.000657782,Oakwood,Staten Island
177,177,1008907.123,185974.2057,0.071580541,0.000198895,Ocean Hill,Brooklyn
178,178,992387.4807,164298.1671,0.068252877,0.000175805,Ocean Parkway South,Brooklyn
179,179,1004521.786,220336.3096,0.071380864,0.000183893,Old Astoria,Queens
180,180,1026033.916,185292.7322,0.080527767,0.000247682,Ozone Park,Queens
181,181,990062.887,184111.7929,0.08953724,0.00030689,Park Slope,Brooklyn
182,182,1023558.863,244398.1962,0.039360637,9.11E-05,Parkchester,Bronx
183,183,1030769.018,248842.877,0.039826296,9.52E-05,Pelham Bay,Bronx
184,184,1038293.709,254402.5575,0.260815683,0.001988834,Pelham Bay Park,Bronx
185,185,1024313.23,250253.3626,0.086161968,0.000228537,Pelham Parkway,Bronx
186,186,986340.4718,211966.8662,0.02469639,3.71E-05,Penn Station/Madison Sq West,Manhattan
187,187,945067.3759,167177.6035,0.126868431,0.000421196,Port Richmond,Staten Island
188,188,999454.6176,178848.0044,0.097798397,0.000313003,Prospect-Lefferts Gardens,Brooklyn
189,189,993051.2337,185993.8462,0.048674331,0.000101428,Prospect Heights,Brooklyn
190,190,992309.7469,179954.8759,0.074329466,0.000270874,Prospect Park,Brooklyn
191,191,1056016.866,199613.4021,0.130932638,0.000688461,Queens Village,Queens
192,192,1035459.392,210539.6534,0.11196462,0.000373808,Queensboro Hill,Queens
193,193,1000792.132,216799.1163,0.065529958,0.000145592,Queensbridge/Ravenswood,Queens
194,194,1006117.101,227627.1511,0.081793835,0.000273482,Randalls Island,Manhattan
195,195,981601.1839,185365.4588,0.131308244,0.000801652,Red Hook,Brooklyn
196,196,1021943.971,202950.2294,0.083242111,0.000197471,Rego Park,Queens
197,197,1031657.891,191801.4658,0.108568532,0.000504689,Richmond Hill,Queens
198,198,1011423.405,195967.8698,0.134094243,0.00049981,Ridgewood,Queens
199,199,1016498.527,227862.0636,0.077808501,0.000288748,Rikers Island,Bronx
200,200,1010108.92,267135.0299,0.112661735,0.000744643,Riverdale/North Riverdale/Fieldston,Bronx
201,201,1026683.448,149700.8641,0.130404118,0.000619351,Rockaway Park,Queens
202,202,997987.6043,216594.6092,0.069921571,0.000106175,Roosevelt Island,Manhattan
203,203,1057297.063,179660.4438,0.189937816,0.00061513,Rosedale,Queens
204,204,926723.33,136351.6441,0.101912418,0.000641384,Rossville/Woodrow,Staten Island
205,205,1050079.729,191559.6782,0.141953388,0.000766217,Saint Albans,Queens
206,206,950066.2578,170997.5657,0.212756793,0.000944393,Saint George/New Brighton,Staten Island
207,207,1012138.643,217460.5394,0.028375683,4.47E-05,Saint Michaels Cemetery/Woodside,Queens
208,208,1032714.815,239781.0488,0.21472101,0.002020326,Schuylerville/Edgewater Park,Bronx
209,209,983595.777,197398.3965,0.030695311,3.89E-05,Seaport,Manhattan
210,210,999709.1419,155604.6869,0.114851983,0.000453155,Sheepshead Bay,Brooklyn
211,211,983868.9504,203012.498,0.025234508,3.97E-05,SoHo,Manhattan
212,212,1020254.275,241067.6197,0.067129065,0.000161276,Soundview/Bruckner,Bronx
213,213,1022782.513,236777.3522,0.159958784,0.000904078,Soundview/Castle Hill,Bronx
214,214,960395.114,153009.2606,0.135300314,0.000811977,South Beach/Dongan Hills,Staten Island
215,215,1042382.073,192258.2529,0.103556454,0.000395647,South Jamaica,Queens
216,216,1034035.311,186002.7242,0.116797555,0.000816077,South Ozone Park,Queens
217,217,996215.2572,195492.2161,0.055390525,0.000114733,South Williamsburg,Brooklyn
218,218,1047462.718,184776.5703,0.083700828,0.000281294,Springfield Gardens North,Queens
219,219,1050557.361,179905.8864,0.15512667,0.000428176,Springfield Gardens South,Queens
220,220,1008618.071,260590.4019,0.106015943,0.000313036,Spuyten Duyvil/Kingsbridge,Bronx
221,221,961670.4465,165251.1835,0.166218221,0.000890112,Stapleton,Staten Island
222,222,1016957.041,174971.2626,0.048389353,0.000130268,Starrett City,Brooklyn
223,223,1010097.755,222807.4149,0.166021925,0.000764361,Steinway,Queens
224,224,990391.0437,205865.6517,0.044020446,9.85E-05,Stuy Town/Peter Cooper Village,Manhattan
225,225,1003262.224,190226.848,0.088799207,0.000310835,Stuyvesant Heights,Brooklyn
226,226,1003837.482,207164.4234,0.168957762,0.000761944,Sunnyside,Queens
227,227,982364.3506,173027.7704,0.082830157,0.000268317,Sunset Park East,Brooklyn
228,228,981486.2307,177407.2779,0.177685178,0.000993415,Sunset Park West,Brooklyn
229,229,993898.33,214924.4994,0.04252529,9.47E-05,Sutton Place/Turtle Bay North,Manhattan
230,230,988633.7086,216109.0411,0.03102831,5.61E-05,Times Sq/Theatre District,Manhattan
231,231,982389.5171,201116.7965,0.063420117,0.00016693,TriBeCa/Civic Center,Manhattan
232,232,989154.8792,199911.4479,0.061470909,0.00021605,Two Bridges/Seward Park,Manhattan
233,233,992214.2877,212221.5621,0.048035918,0.000116188,UN/Turtle Bay South,Manhattan
234,234,986888.7771,208992.9156,0.036072199,7.31E-05,Union Sq,Manhattan
235,235,1007773.36,250243.0561,0.076166843,0.000212845,University Heights/Morris Heights,Bronx
236,236,996166.3275,223633.865,0.044251922,0.000102864,Upper East Side North,Manhattan
237,237,993753.3107,219279.1627,0.0422126,9.60E-05,Upper East Side South,Manhattan
238,238,991777.6371,227739.8908,0.060109311,0.000184764,Upper West Side North,Manhattan
239,239,990266.7853,224949.0756,0.063626115,0.000204715,Upper West Side South,Manhattan
240,240,1017684.383,265281.3527,0.146069764,0.000722131,Van Cortlandt Park,Bronx
241,241,1012886.593,258436.3238,0.068764578,0.000254677,Van Cortlandt Village,Bronx
242,242,1028548.842,248848.8958,0.138136446,0.000360072,Van Nest/Morris Park,Bronx
243,243,1002832.195,252121.4302,0.0943315,0.000438377,Washington Heights North,Manhattan
244,244,1000390.411,245761.3923,0.080568604,0.000359703,Washington Heights South,Manhattan
245,245,955612.0855,168264.8979,0.09598306,0.000466175,West Brighton,Staten Island
246,246,982999.7344,213409.8884,0.069467194,0.000281298,West Chelsea/Hudson Yards,Manhattan
247,247,1004989.375,241390.2232,0.092967858,0.000205617,West Concourse,Bronx
248,248,1019944.062,243398.9973,0.056919117,0.000149593,West Farms/Bronx River,Bronx
249,249,983558.0146,206915.3967,0.036384344,7.22E-05,West Village,Manhattan
250,250,1025903.712,242611.8776,0.079626347,0.000240976,Westchester Village/Unionport,Bronx
251,251,950037.5912,165039.4451,0.137711161,0.000625755,Westerleigh,Staten Island
252,252,1035369.74,226551.8118,0.158004374,0.001025264,Whitestone,Queens
253,253,1028166.428,216236.4047,0.0360515,7.83E-05,Willets Point,Queens
254,254,1023441.084,261091.6499,0.085886375,0.00036004,Williamsbridge/Olinville,Bronx
255,255,996132.6238,201170.1111,0.0623842,0.000172309,Williamsburg (North Side),Brooklyn
256,256,995586.7325,198307.2827,0.067914967,0.000168611,Williamsburg (South Side),Brooklyn
257,257,990565.4889,177424.8054,0.058669026,0.000138909,Windsor Terrace,Brooklyn
258,258,1024007.112,190740.6165,0.089013379,0.00036621,Woodhaven,Queens
259,259,1023962.106,266878.034,0.126750305,0.000394552,Woodlawn/Wakefield,Bronx
260,260,1010929.715,211369.8834,0.133514155,0.000422345,Woodside,Queens
261,261,980668.1872,197575.6899,0.027120456,3.43E-05,World Trade Center,Manhattan
262,262,999253.1086,222193.8188,0.049063623,0.00012233,Yorkville East,Manhattan
263,263,997763.1583,222907.6347,0.037016625,6.58E-05,Yorkville West,Manhattan
